title,author,type,category,source_url,description,date,priority
When Maps Shouldn’t Be Maps,Matthew Ericson,Article,Visualization,http://www.ericson.net/content/2011/10/when-maps-shouldnt-be-maps/,,10/14/2011,
A fundamental way newspaper sites need to change,Adrian Holovaty,Article,Curation,http://www.holovaty.com/writing/fundamental-change/,,9/6/2006,
The Data Journalism Handbook,The European Journalism Center and the Open Knowledge Foundation,Book,Journalism,http://datajournalismhandbook.org/,,,
My Favorite (Excel) Things,MaryJo Webster,Article,Curation,http://extra.twincities.com/car/mj/ExcelClassHandout.pdf,,2010,
Design Principles for News Apps & Graphics,Lena Groeger,Article,Visualization,http://www.propublica.org/nerds/item/design-principles-for-news-apps-graphics,,5/30/2013,
Visual Literacy in an Age of Data,Shazna Nessa,Article,Visualization,http://source.mozillaopennews.org/en-US/learning/visual-literacy-age-data/,,6/13/2013,
PowerPoint does Rocket Science - and Better Techniques for Technical Reports,Edward Tufte,Article,Visualization,http://www.edwardtufte.com/bboard/q-and-a-fetch-msg?msg_id=0001yB&topic_id=1,,,
Pie Charts,Edward Tufte discussion board,Article,Visualization,http://www.edwardtufte.com/bboard/q-and-a-fetch-msg?msg_id=00018S,,,
Does High Public Debt Consistently Stifle Economic Growth? A Critique of Reinhart and Rogoff,"Thomas Herndon, Michael Ash, and Robert Pollin",Article,Curation,http://www.peri.umass.edu/236/hash/31e2ff374b6377b2ddec04deaa6388b1/publication/566/,,,
Common Static Visualization Types,Angela Zoss,Guide,Visualization,http://guides.library.duke.edu/vis_types,,,
Using Google Refine to Clean Messy Data,Daniel Nguyen,Guide,Curation,http://www.propublica.org/nerds/item/using-google-refine-for-data-cleaning,,12/30/2010,
Using Small Multiples to get to ‘Aha!,Matt Linderman,Article,Visualization,http://37signals.com/svn/posts/266-using-small-multiples-to-get-to-aha,,2/13/2007,
Beautiful spider loses its way,Kaiser Fung,Article,Visualization,http://junkcharts.typepad.com/junk_charts/2013/08/beautiful-spider-loses-its-way-.html,,,
"If correlation doesn’t imply causation, then what does?",Michael Nielsen,Article,Analysis,http://www.michaelnielsen.org/ddi/if-correlation-doesnt-imply-causation-then-what-does/,,1/23/2012,
Know Your Stats,Dave Stanton,Article,Analysis,http://source.mozillaopennews.org/en-US/learning/know-your-stats/,,,
The Perils of Polling Twitter,Jacob Harris,Article,Analysis,http://source.mozillaopennews.org/en-US/learning/perils-polling-twitter/,,,
Finding Stories in the Structure of Data,Matt Waite,Article,Journalism,http://source.mozillaopennews.org/en-US/learning/finding-stories-structure-data/,,,
How the Data Sausage Gets Made,Jacob Harris,Article,Curation,http://source.mozillaopennews.org/en-US/learning/how-sausage-gets-made/,,,
Freeing the Plum Book,Derek Willis,Article,Curation,http://source.mozillaopennews.org/en-US/learning/freeing-plum-book/,,,
Sane Data Updates are Harder Than You Think,Adrian Holovaty,Article,Curation,http://source.mozillaopennews.org/en-US/learning/sane-data-updates-are-harder-you-think/,,,
Culture Hacking with a Staff Database,Ian Malpass ,Article,Curation,http://codeascraft.com/2013/05/31/culture-hacking-with-a-staff-database/,,,
For Example,Mike Bostock,Article,Visualization,http://bost.ocks.org/mike/example/,,,
The different sketch styles of the designers at 37signals,Jason Fried ,Article,Visualization,http://37signals.com/svn/posts/1880-the-different-sketch-styles-of-the-designers-at-37signals,,8/27/2009,
Why we skip Photoshop,Jason Fried ,Article,Visualization,http://37signals.com/svn/posts/1061-why-we-skip-photoshop,,,
Common MySQL Queries,Peter Brawley and Arthur Fuller,Guide,Curation,http://www.artfulsoftware.com/infotree/queries.php,,,
Machine Learning in R: Clustering,Ricky Ho,Guide,Analysis,http://horicky.blogspot.com/2012/04/machine-learning-in-r-clustering.html,,,
Getting your heart rate using R and Ruby,Sau Sheong Chang,Guide,Curation,http://blog.airbrake.io/guest-post/exploring-everything/,,,
"Story hunting in birth, death data",Anthony DeBarros,Article,Journalism,http://www.anthonydebarros.com/2010/09/07/data-analysis-births-deaths/,,,
Word clouds considered harmful,Jacob Harris,Article,Visualization,http://www.niemanlab.org/2011/10/word-clouds-considered-harmful/,,,
A Gentle Introduction to SQL using SQLite,Troy Thibodeaux,Guide,Curation,https://github.com/tthibo/SQL-Tutorial/blob/master/tutorial_files/part1.textile,,,
"I had no idea how to make custom maps, so I learnt by doing. You should too.",Alastair Coote,Guide,Visualization,http://blogging.alastair.is/i-had-no-idea-how-to-make-custom-maps-so-i-learnt-by-doing-you-should-too/,,,
Serious Fun With Numbers,Janet Paskin,Article,Journalism,http://www.cjr.org/reports/serious_fun_with_numbers.php?page=all&print=true,,,
"Console productivity hack: Discover the frequent; then make it the easy",Matt Might,Guide,Curation,http://matt.might.net/articles/console-hacks-exploiting-frequency/,,,
Data Mining: Finding Similar Items and Users,Alexandru Nedelcu,Guide,Analysis,https://www.bionicspirit.com/blog/2012/01/16/cosine-similarity-euclidean-distance.html,,,
Data Mining the Web: $100 Worth of Priceless,,Article,Curation,http://blog.luckyoyster.com/post/33592990831/data-mining-the-web-100-worth-of-priceless,A high-level description of the engineering used to mine and index 3.4 billion web pages in about 14 hours.,,
A Programmer's Guide to Data Mining,Ron Zacharski,Book,Curation,http://guidetodatamining.com/,"A guide to practical data mining, collective intelligence, and building recommendation systems",,
Think Stats,Allen B. Downey,Book,Analysis,http://www.greenteapress.com/thinkstats/,An introduction to Probability and Statistics for Python programmers.,,
Think Bayes,Allen B. Downey,Book,Analysis,http://www.greenteapress.com/thinkbayes/thinkbayes.pdf,"An exploration of Bayesian statistics, using the Python programming language",,
Predictive Analytics: Data Preparation,Ricky Ho,Guide,Curation,http://horicky.blogspot.com.au/2012/05/predictive-analytics-data-preparation.html,,,
Big Data Tutorials,Neal Caren,Guide,Curation,http://nealcaren.web.unc.edu/big-data/,,,
Bastards Book of Regular Expressions,Daniel Nguyen,Book,Curation,http://regex.bastardsbook.com/,,,8
Data Analysis for Politics and Policy,Edward Tufte,Book,Analysis,http://www.edwardtufte.com/tufte/ebooks,,,
Up and Down the Ladder of Abstraction,Bret Victor,Article,Visualization,http://worrydream.com/LadderOfAbstraction/,,,9
Scientific Communication as Sequential Art,Bret Victor,Article,Visualization,http://worrydream.com/#!/ScientificCommunicationAsSequentialArt,,,
How to Design an Infographic: How Many Households,Bret Victor,Article,Visualization,http://worrydream.com/#!/HowManyHouseholds,,,8
Attempts to Map Music,Daniel Brownstein ,Article,Visualization,http://dabrownstein.wordpress.com/2013/08/03/attempts-at-mapping-music/,,8/3/2013,
Mapping NYC stop and frisks: some cartographic observations,Steven Romalewski,Article,Visualization,http://spatialityblog.com/2012/07/27/nyc-stop-frisk-cartographic-observations/,,7/27/2012,9
How 2 Blade staffers overcame obstacles to cover Toledo’s gangs,Taylor Dungjen,Article,Curation,http://www.toledoblade.com/Police-Fire/2013/04/28/How-2-Blade-staffers-overcame-obstacles-to-cover-Toledo-s-gangs.html,,,10
Design Tip: Never Use Black,Ian Storm Taylor,Article,Visualization,http://ianstormtaylor.com/design-tip-never-use-black/,,,8
The Greatest Paper Map of the United States You’ll Ever See,Seth Stevenson,Article,Visualization,http://www.slate.com/articles/arts/culturebox/2012/01/the_best_american_wall_map_david_imus_the_essential_geography_of_the_united_states_of_america_.html,A case for where hand-editing has advantages over algorithmic rendering.,,
The Map That Lincoln Used to See the Reach of Slavery,,,,http://www.slate.com/blogs/the_vault/2013/09/04/abraham_lincoln_the_president_used_this_map_to_see_where_slavery_was_strongest.html,,,
People Power Prevails!,John Keefe,Article,Curation,http://source.mozillaopennews.org/en-US/learning/people-power-prevails/,,,8
Cicada Tracker,WNYC and Radiolab,Guide,Curation,http://project.wnyc.org/cicadas/,,,10
GIS Analyses of Dr. Snow's Map        ,John Mackenzie ,Guide,Visualization,http://www.udel.edu/johnmack/frec480/cholera/cholera2.html,,,
Mapping Chicago’s shooting victims,Andy Boyle,Guide,Visualization,http://blog.apps.chicagotribune.com/2013/07/15/mapping-chicagos-shooting-victims/,,,
"Proto-analysis of Boston Globe Traffic on Facebook",Sonya Song,Article,Analysis,http://sonya2song.blogspot.com/2013/07/proto-analysis-of-boston-globe-traffic.html,,,
Under the Hood of the Open Gender Tracker,Irene Ros and Nathan Matias ,Article,Curation,http://source.mozillaopennews.org/en-US/articles/under-hood-open-gender-tracker/,,,
Creating a Metric for News Apps,Brian Abelson,Article,Analysis,http://brianabelson.com/open-news/2013/03/18/A-Metric-For-News-Apps.html,,,
Matching Methods for Causal Inference,Elizabeth A. Stuart,Guide,Analysis,http://biostat.jhsph.edu/~estuart/Stuart10.StatSci.pdf,,,
Style and Substance: Analyzing a Beach Ball Chart,Joe Germuska,Article,Visualization,http://blog.apps.chicagotribune.com/2012/02/07/style-and-substance-analyzing-a-beach-ball-chart/,,,
Better web cartography with dot density maps and new tools,Christopher Groskopf,Guide,Visualization,http://blog.apps.chicagotribune.com/2011/08/12/better-web-cartography-with-dot-density-maps-and-new-tools/,,,
How Not to Lie with Statistics: Avoiding Common Mistakes in Quantitative Political Science,Gary King,Guide,Analysis,http://dash.harvard.edu/bitstream/handle/1/4455012/not%20lie%20stat.pdf?sequence=1,,,
How we identified America's 50 worst charities,Kendall Taggart and Kris Hundley,Article,Reporting,http://www.tampabay.com/news/business/how-we-identified-americas-50-worst-charities/2124085,,,
"Example story memos and assessments for class on ""Real-Time Data; Using APIs""
",Derek Willis,Guide,Reporting,http://dwillis.github.io/data-reporting/apr25.html,,,
"Analyzing the Analyzers: An Introspective Survey of Data Scientists and Their Work","Harlan Harris, Sean Murphy, Marck Vaisman",Book,Analysis,http://oreilly.com/data/stratareports/analyzing-the-analyzers.csp?intcmp=il-strata-ebooks-analyzing-the-analyzers-strata-right-rail,,,
Drawing Conclusions from Data,Jonathan Stray,Article,Analysis,http://source.mozillaopennews.org/en-US/learning/statistically-sound-data-journalism/,,,
Making the WNYC Census Map,John Keefe,Guide,Visualization,http://johnkeefe.net/47474697,,,
"Months after West blast, a report highlights what we don’t know about chemical safety
",Richard Parker,Article,Reporting,http://www.cjr.org/united_states_project/laurel_dallas_morning_news_investigation_chemical_safety_data.php?page=all,,,
"Principles of Information Display for Visualization Practitioners
",Al Globus,Article,Visualization,http://www2.cs.uregina.ca/~rbm/cs100/notes/spreadsheets/tufte_paper.html,,,
Small Multiples with Details on Demand,Jim Vallandingham,Guide,Visualization,http://vallandingham.me/small_multiples_with_details.html,,,